Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
eil51	51	426	christofides	0.598414421081543	1.128026040502257	480.53909325396154	70.36822128295898	48.9	60.9	49.2
berlin52	52	7542	christofides	0.3202698230743408	1.1354819505887925	8563.804871340673	0.485015869140625	56.5	60.7	49.2
st70	70	675	christofides	0.9246835708618164	1.1320089440122467	764.1060372082666	0.8209762573242188	73.35	60.75	49.2
eil76	76	538	christofides	1.3165349960327148	1.153658552752454	620.6683013808204	0.940333366394043	72.06666666666666	60.86666666666667	49.20000000000001
pr76	76	108159	christofides	0.46605849266052246	1.0788148433877394	116683.53464597449	0.8882675170898438	59.6	60.8	49.2
rat99	99	1211	christofides	1.7404444217681885	1.1291758701259091	1367.431978722476	1.6794281005859375	91.26666666666667	60.833333333333336	49.20000000000001
rd100	100	7910	christofides	2.2671937942504883	1.125852393317651	8905.492431142618	1.747817039489746	53.35	60.849999999999994	49.2
kroE100	100	22068	christofides	1.9955792427062988	1.0793532101793029	23819.166642236854	1.741999626159668	54.85	60.650000000000006	49.2
kroD100	100	21294	christofides	1.6670575141906738	1.1170635239813973	23786.750679659875	1.7115745544433594	70.53333333333333	54.26666666666667	49.20000000000001
kroC100	100	20749	christofides	1.4887101650238037	1.0967028245779895	22755.486907168703	1.7106609344482422	51.29999999999999	47.833333333333336	49.20000000000001
kroB100	100	22141	christofides	1.011857032775879	1.084377148378703	24009.194442252865	1.7103805541992188	63.349999999999994	47.849999999999994	49.2
kroA100	100	21282	christofides	1.2798259258270264	1.0944922778117776	23292.98465639025	1.7109565734863281	45.75	47.8	49.2
eil101	101	629	christofides	1.7420926094055176	1.1519184118961743	724.5566810826937	1.7426586151123047	38.53333333333333	47.70000000000001	49.20000000000001
lin105	105	14379	christofides	1.462815761566162	1.1468550336305054	16490.628528573037	1.8750839233398438	68.56666666666666	47.9	49.20000000000001
pr107	107	44303	christofides	1.1166632175445557	1.0813927442401763	47908.94274807253	1.9402446746826172	65.0	48.0	49.2
pr124	124	59030	christofides	0.8935761451721191	1.0955046191615423	64667.63766910584	2.5611495971679688	53.95	48.1	49.2
bier127	127	118282	christofides	4.746751070022583	1.127144336640161	133320.88642647152	2.675159454345703	71.7125	47.962500000000006	49.2
ch130	130	6110	christofides	2.2004992961883545	1.1190705898299793	6837.521303861174	2.7911529541015625	65.25	48.074999999999996	49.2
pr136	136	96772	christofides	1.2400944232940674	1.072344400423912	103772.91231782282	3.0742835998535156	49.0	47.9	49.2
pr144	144	58537	christofides	0.7277429103851318	1.2062729788425255	70611.60136250491	3.383941650390625	40.75	47.9	49.2
ch150	150	6528	christofides	2.3829803466796875	1.0973350223499123	7163.4030259002275	3.657501220703125	49.75	47.849999999999994	49.2
kroA150	150	26524	christofides	5.5889716148376465	1.1068027389714161	29356.835848477844	3.658191680908203	48.46666666666667	47.84444444444444	49.2
kroB150	150	26130	christofides	6.090730667114258	1.1417053812372089	29832.76161172827	3.6573257446289062	52.1	47.7	49.2
pr152	152	73682	christofides	0.7531907558441162	1.0752569451717289	79227.08223414332	3.746337890625	44.25	47.349999999999994	49.2
u159	159	42080	christofides	4.6031880378723145	1.1143447677446916	46891.627826696626	4.081409454345703	48.714285714285715	47.08571428571429	49.199999999999996
rat195	195	2323	christofides	6.032772064208984	1.144678981355286	2659.0892736883293	6.8650665283203125	45.73	46.96999999999999	49.2
d198	198	15780	christofides	7.289285182952881	1.0973616248732347	17316.366440499645	7.0679168701171875	51.92727272727272	46.98181818181818	49.2
kroB200	200	29437	christofides	11.865069150924683	1.1143470794280734	32803.034977124196	7.194007873535156	49.51111111111111	47.111111111111114	49.20000000000001
kroA200	200	29368	christofides	11.61249828338623	1.1234548762882552	32993.62280683348	7.191741943359375	51.333333333333336	47.15555555555555	49.20000000000001
ts225	225	126643	christofides	1.6690824031829834	1.0524242979303513	133282.1703627935	8.876028060913086	52.73333333333333	47.4	49.20000000000001
tsp225	225	3919	christofides	10.943406105041504	1.1128075828616117	4361.092917234657	8.880119323730469	46.425	47.212500000000006	49.2
pr226	226	80369	christofides	6.14131236076355	1.1489866842607086	92342.91082734888	8.978240013122559	48.46	47.26	49.2
gil262	262	2378	christofides	19.84601664543152	1.1303723688758105	2688.0254931866775	11.668312072753906	50.64333333333334	47.19666666666668	49.20000000000002
pr264	264	49135	christofides	7.941295623779297	1.1097430871218537	54527.22658573228	11.864799499511719	50.083333333333336	47.29166666666666	49.20000000000001
