Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
eil51	51	426	twice_around_the_tree	0.21198368072509766	1.5044629646129124	640.9012229251007	359.24768447875977	88.2	57.0	49.2
berlin52	52	7542	twice_around_the_tree	0.06005668640136719	1.3412907047879643	10116.014495510826	0.41045379638671875	40.0	57.1	49.2
st70	70	675	twice_around_the_tree	0.10889291763305664	1.293854052847015	873.3514856717352	0.7489166259765625	44.2	57.1	49.2
eil76	76	538	twice_around_the_tree	0.1192312240600586	1.3144113752066555	707.1533198611806	0.83514404296875	47.8	57.1	49.2
pr76	76	108159	twice_around_the_tree	0.1254255771636963	1.3437449907251222	145338.11445183848	0.8350906372070312	52.3	57.1	49.2
rat99	99	1211	twice_around_the_tree	0.24679970741271973	1.4229769158966652	1723.2250451508614	1.6813430786132812	80.0	57.0	49.2
rd100	100	7910	twice_around_the_tree	0.2474958896636963	1.3643054128888372	10791.655815950702	1.7128143310546875	69.2	57.0	49.2
kroE100	100	22068	twice_around_the_tree	0.25571298599243164	1.3824279067801102	30507.419046823474	1.7112197875976562	73.2	57.1	49.2
kroD100	100	21294	twice_around_the_tree	0.24552583694458008	1.2732833962819095	27113.29664042698	1.7104110717773438	83.3	57.3	49.2
kroC100	100	20749	twice_around_the_tree	0.21904754638671875	1.3478500825944204	27966.54136375163	1.7108345031738281	60.5	57.3	49.2
kroB100	100	22141	twice_around_the_tree	0.2196335792541504	1.1689264212856523	25881.199893685625	1.7106609344482422	65.3	57.3	49.2
kroA100	100	21282	twice_around_the_tree	0.1924881935119629	1.2786241767322784	27211.67972921635	1.7120323181152344	48.1	57.4	49.2
eil101	101	629	twice_around_the_tree	0.20379972457885742	1.320416864157215	830.5422075548881	1.7430744171142578	47.1	57.4	49.2
lin105	105	14379	twice_around_the_tree	0.24250006675720215	1.3560337150576274	19498.408788813624	1.8756217956542969	64.2	57.3	49.2
pr107	107	44303	twice_around_the_tree	0.2082526683807373	1.2242520057728703	54238.03661175547	1.9407405853271484	53.1	57.3	49.2
pr124	124	59030	twice_around_the_tree	0.3159599304199219	1.2559877968538857	74140.95964828487	2.7119827270507812	65.3	56.6	49.2
bier127	127	118282	twice_around_the_tree	0.30058884620666504	1.341181296893765	158637.60615918832	2.674774169921875	42.6	56.6	49.2
ch130	130	6110	twice_around_the_tree	0.34656381607055664	1.3304021736711864	8128.757281130948	2.824413299560547	54.7	56.6	49.2
pr136	136	96772	twice_around_the_tree	0.34947943687438965	1.5698109163978895	151913.74200165656	3.1111669540405273	29.8	56.8	49.2
pr144	144	58537	twice_around_the_tree	0.37539100646972656	1.3768440481741249	80596.32004796875	3.3846511840820312	28.6	56.7	49.2
ch150	150	6528	twice_around_the_tree	0.39823174476623535	1.2765735554670907	8333.472170089168	3.6568984985351562	30.0	56.6	49.2
kroA150	150	26524	twice_around_the_tree	0.4300382137298584	1.3241806213640215	35122.56680105931	3.6587905883789062	43.5	56.5	49.2
kroB150	150	26130	twice_around_the_tree	0.4226100444793701	1.3836484477729756	36154.73394030785	3.6962575912475586	38.3	56.4	49.2
pr152	152	73682	twice_around_the_tree	0.43367505073547363	1.1943038188622066	87998.6939814051	3.7470550537109375	30.0	56.4	49.2
u159	159	42080	twice_around_the_tree	0.4464151859283447	1.3732883652612995	57787.974410195486	4.080467224121094	31.1	56.4	49.2
rat195	195	2323	twice_around_the_tree	1.0078575611114502	1.428206307385696	3317.723252056972	6.902563095092773	31.75	56.25	49.2
d198	198	15780	twice_around_the_tree	0.6862270832061768	1.217898165675931	19218.43305436619	7.06719970703125	24.2	56.2	49.2
kroB200	200	29437	twice_around_the_tree	0.7042853832244873	1.3829860338688	40710.95987899587	7.191993713378906	23.25	56.2	49.2
kroA200	200	29368	twice_around_the_tree	0.693328857421875	1.363077715581317	40030.86635119212	7.192035675048828	26.3	56.2	49.2
ts225	225	126643	twice_around_the_tree	0.8204936981201172	1.48456449728238	188009.70162933244	9.058744430541992	30.0	56.2	49.2
tsp225	225	3919	twice_around_the_tree	0.8559608459472656	1.305417856923817	5115.932581284439	8.877693176269531	39.650000000000006	56.25	49.2
pr226	226	80369	twice_around_the_tree	1.1491897106170654	1.4519547800169565	116692.15371518278	8.951614379882812	42.0	56.3	49.2
gil262	262	2378	twice_around_the_tree	1.1569955348968506	1.4121758522953278	3358.1541767582894	11.669197082519531	40.25	56.3	49.2
pr264	264	49135	twice_around_the_tree	1.4346768856048584	1.3527392235541527	66466.8417493333	11.898188591003418	36.0	56.4	49.2
a280	280	2579	twice_around_the_tree	1.2975959777832031	1.4074138445557347	3629.7203051092397	13.202991485595703	33.3	56.2	49.2
pr299	299	48191	twice_around_the_tree	1.825730323791504	1.341454518891923	64646.03471992065	14.888477325439453	28.366666666666664	56.166666666666664	49.20000000000001
lin318	318	42029	twice_around_the_tree	1.9832804203033447	1.3834600375230452	58145.441917056065	16.66974639892578	28.433333333333334	56.0	49.20000000000001
linhp318	318	41345	twice_around_the_tree	1.9448020458221436	1.406347609555111	58145.441917056065	16.670448303222656	29.0	56.1	49.20000000000001
rd400	400	15281	twice_around_the_tree	3.03420352935791	1.3251997084151985	20250.376744292647	29.066009521484375	33.019999999999996	56.160000000000004	49.2
fl417	417	11861	twice_around_the_tree	3.317822217941284	1.3740135435791194	16297.174640391935	31.185165405273438	34.58	56.260000000000005	49.2
pr439	439	107217	twice_around_the_tree	3.6788411140441895	1.34889204023657	144624.15787804432	34.21052551269531	30.650000000000002	56.23333333333333	49.199999999999996
pcb442	442	50778	twice_around_the_tree	4.325853109359741	1.3660424299142642	69364.90250618651	34.75450897216797	25.028571428571432	56.18571428571429	49.199999999999996
d493	493	35002	twice_around_the_tree	4.860337257385254	1.297842661763193	45427.08884703529	42.0889778137207	29.85	56.1	49.2
u574	574	36905	twice_around_the_tree	7.593570232391357	1.3299865042196892	49083.15193822763	55.47166442871094	60.57272727272728	56.554545454545455	49.2
rat575	575	6773	twice_around_the_tree	8.559074401855469	1.3936119051174758	9438.933433360664	55.8471155166626	57.43846153846153	56.45384615384615	49.20000000000001
p654	654	34643	twice_around_the_tree	10.662703514099121	1.4355539480460753	49731.89542216019	70.37038040161133	50.620000000000005	56.47333333333333	49.20000000000002
d657	657	48912	twice_around_the_tree	11.108824253082275	1.3438459621443237	65730.19370040316	70.9512710571289	48.68	56.20000000000002	49.20000000000002
u724	724	41910	twice_around_the_tree	13.572427749633789	1.3786606512269666	57779.66789292217	97.75753402709961	49.06111111111111	56.50555555555555	49.20000000000001
rat783	783	8806	twice_around_the_tree	16.0411696434021	1.3688908876607937	12054.453156740949	111.98652267456055	53.69523809523809	56.32380952380953	49.20000000000001
pr1002	1002	259045	twice_around_the_tree	26.825911045074463	1.321177642478497	342244.46239584225	173.4030876159668	50.47058823529412	57.42058823529412	49.2
u1060	1060	224094	twice_around_the_tree	29.4993314743042	1.3517312661960685	302914.8663669418	191.98068237304688	51.0837837837838	58.22432432432433	49.20000000000001
vm1084	1084	239297	twice_around_the_tree	31.806814670562744	1.3174772301748483	315268.3487491507	200.1920509338379	49.11052631578948	58.29999999999999	49.20000000000001
pcb1173	1173	56892	twice_around_the_tree	36.53608536720276	1.418387345544943	80694.8928627429	230.7821922302246	47.571111111111115	58.977777777777774	49.19999999999999
d1291	1291	50801	twice_around_the_tree	45.21309208869934	1.4696225922723294	74658.29731002661	274.47370529174805	49.92037037037038	60.60740740740741	49.19999999999998
rl1304	1304	252948	twice_around_the_tree	46.736756324768066	1.3749172570706139	347782.57034149766	280.23424911499023	50.5375	61.080357142857146	49.199999999999996
rl1323	1323	270199	twice_around_the_tree	47.161131620407104	1.4079311455787364	380421.587604229	287.5700569152832	48.95178571428572	61.48392857142857	49.199999999999996
nrw1379	1379	56638	twice_around_the_tree	52.97089648246765	1.397582278070714	79156.2650653691	359.2549705505371	49.46612903225807	61.704838709677425	49.19999999999998
fl1400	1400	20127	twice_around_the_tree	52.236910820007324	1.3869689212101481	27915.52347719665	368.52568435668945	49.83333333333333	62.14126984126984	49.199999999999974
u1432	1432	152970	twice_around_the_tree	54.450244188308716	1.4017832290508725	214430.78054791197	382.8629951477051	49.03333333333334	62.52272727272727	49.19999999999999
fl1577	1577	[22204,22249]	twice_around_the_tree	67.49126482009888	1.4061924278046138	31223.096666973648	453.29934310913086	49.279012345679014	64.60370370370372	49.19999999999999
d1655	1655	62128	twice_around_the_tree	74.57502889633179	1.3791056917466216	85681.0784168341	493.9200019836426	47.48275862068966	66.58735632183907	49.19999999999999
vm1748	1748	336556	twice_around_the_tree	87.52768063545227	1.3212025099607339	444658.6319423448	544.160701751709	49.47299999999999	68.63000000000002	49.19999999999999
u1817	1817	57201	twice_around_the_tree	88.84950852394104	1.459791887806316	83501.55577440909	582.0011558532715	48.904672897196264	67.18317757009346	49.199999999999996
rl1889	1889	316536	twice_around_the_tree	99.39039826393127	1.4210436985784265	449811.48817322083	624.2107915878296	49.63130434782609	72.41652173913043	49.2
d2103	2103	[79952,80450]	twice_around_the_tree	127.11853337287903	1.5576079598249652	124533.87160392563	757.2123517990112	49.31619718309859	75.58943661971828	49.19999999999998
u2152	2152	64253	twice_around_the_tree	131.49336051940918	1.4797163686512498	95076.21583494876	788.4624214172363	51.03809523809524	78.21700680272109	49.19999999999999
u2319	2319	234256	twice_around_the_tree	149.5907337665558	1.3683015206772815	320532.84102777723	902.1971244812012	48.61479289940829	81.6698224852071	49.199999999999996
pr2392	2392	378032	twice_around_the_tree	164.9628767967224	1.3838323394299639	523132.9069393881	955.8635063171387	49.76010928961748	85.55409836065574	49.19999999999999
pcb3038	3038	137694	twice_around_the_tree	279.37273645401	1.427614124231709	196573.89922196095	1697.6403312683105	49.6472972972973	93.74932432432433	49.199999999999996
fl3795	3795	[28723,28772]	twice_around_the_tree							
fnl4461	4461	182566	twice_around_the_tree							
rl5915	5915	[565040,565530]	twice_around_the_tree							
rl5934	5934	[554070,556045]	twice_around_the_tree							
rl11849	11849	[920847,923368]	twice_around_the_tree							
usa13509	13509	[19947008,19982889]	twice_around_the_tree							
brd14051	14051	[468942,469445]	twice_around_the_tree							
d15112	15112	[1564590,1573152]	twice_around_the_tree							
d18512	18512	[644650,645488]	twice_around_the_tree							
