Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
a15	15	50	christofides	0.0420730113983154314.4274467585221915	221.3723379261096	0.10201549530029297	56.1	55.9	49.2
eil51	51	426	christofides	0.30599236488342285	1.128026040502257	480.53909325396154	0.554779052734375	69.0	55.7	49.2
berlin52	52	7542	christofides	0.29700613021850586	1.1354819505887925	8563.804871340673	0.4865264892578125	60.9	55.6	49.2
st70	70	675	christofides	0.796940803527832	1.1320089440122467	764.1060372082666	0.8369808197021484	60.4	55.7	49.2
eil76	76	538	christofides	1.523026943206787	1.153658552752454	620.6683013808204	0.9113616943359375	94.7	55.833333333333336	49.20000000000001
pr76	76	108159	christofides	0.419816255569458	1.0788148433877394	116683.53464597449	0.8886795043945312	54.2	55.9	49.2
rat99	99	1211	christofides	1.2085521221160889	1.1291758701259091	1367.431978722476	1.6801223754882812	85.5	56.0	49.2
rd100	100	7910	christofides	2.6718432903289795	1.125852393317651	8905.492431142618	1.7111358642578125	59.94000000000001	55.879999999999995	49.2
kroE100	100	22068	christofides	2.010500192642212	1.0793532101793029	23819.166642236854	1.7101821899414062	65.925	55.9	49.2
kroD100	100	21294	christofides	1.2233247756958008	1.1170635239813973	23786.750679659875	1.7104110717773438	55.2	55.9	49.2
kroC100	100	20749	christofides	1.2464230060577393	1.0967028245779895	22755.486907168703	1.7103958129882812	45.05	55.9	49.2
kroB100	100	22141	christofides	0.8803858757019043	1.084377148378703	24009.194442252865	1.710174560546875	67.0	56.0	49.2
kroA100	100	21282	christofides	1.3501319885253906	1.0944922778117776	23292.98465639025	1.7104873657226562	39.733333333333334	55.79999999999999	49.20000000000001
eil101	101	629	christofides	1.816575050354004	1.1519184118961743	724.5566810826937	1.7739667892456055	41.86666666666667	55.96666666666667	49.20000000000001
lin105	105	14379	christofides	1.1600382328033447	1.1468550336305054	16490.628528573037	1.8751049041748047	42.05	55.9	49.2
pr107	107	44303	christofides	1.352393388748169	1.0813927442401763	47908.94274807253	2.0958404541015625	59.85	55.9	49.2
pr124	124	59030	christofides	0.7165968418121338	1.0955046191615423	64667.63766910584	2.5608367919921875	33.8	55.9	49.2
bier127	127	118282	christofides	3.237720012664795	1.127144336640161	133320.88642647152	2.6746139526367188	37.86	55.879999999999995	49.2
ch130	130	6110	christofides	1.763875961303711	1.1190705898299793	6837.521303861174	2.7919692993164062	39.5	55.96666666666667	49.20000000000001
pr136	136	96772	christofides	0.6963846683502197	1.072344400423912	103772.91231782282	3.0401535034179688	97.7	55.95	49.2
