Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
a15	15	50	twice_around_the_tree	0.5543379783630371	1.616918896833451	225.84594484167252	81.11343383789062	76.3	72.6	49.3
eil51	51	426	twice_around_the_tree	0.12369036674499512	1.5044629646129124	640.9012229251007	0.617645263671875	95.7	72.6	49.3
berlin52	52	7542	twice_around_the_tree	0.0876624584197998	1.3412907047879643	10116.014495510826	0.42531681060791016	51.0	72.6	49.3
st70	70	675	twice_around_the_tree	0.1320953369140625	1.293854052847015	873.3514856717352	0.7832422256469727	53.5	72.6	49.3
eil76	76	538	twice_around_the_tree	0.14680695533752441	1.3144113752066555	707.1533198611806	0.8366985321044922	73.9	72.5	49.3
pr76	76	108159	twice_around_the_tree	0.13146328926086426	1.3437449907251222	145338.11445183848	0.83453369140625	59.2	72.1	49.3
rat99	99	1211	twice_around_the_tree	0.23082995414733887	1.4229769158966652	1723.2250451508614	1.7120037078857422	60.9	72.1	49.3
rd100	100	7910	twice_around_the_tree	0.24460673332214355	1.3643054128888372	10791.655815950702	1.7369756698608398	67.4	72.0	49.3
kroE100	100	22068	twice_around_the_tree	0.24784469604492188	1.3824279067801102	30507.419046823474	1.8743934631347656	59.6	71.9	49.3
kroD100	100	21294	twice_around_the_tree	0.21354460716247559	1.2732833962819095	27113.29664042698	1.7419795989990234	57.4	71.8	49.3
kroC100	100	20749	twice_around_the_tree	0.21523308753967285	1.3478500825944204	27966.54136375163	1.7108535766601562	60.0	71.8	49.3
kroB100	100	22141	twice_around_the_tree	0.2333219051361084	1.1689264212856523	25881.199893685625	1.743368148803711	57.8	71.6	49.3
kroA100	100	21282	twice_around_the_tree	0.25313305854797363	1.2786241767322784	27211.67972921635	1.748861312866211	58.3	71.8	49.3
eil101	101	629	twice_around_the_tree	0.2981574535369873	1.320416864157215	830.5422075548881	1.74371337890625	96.0	71.8	49.3
lin105	105	14379	twice_around_the_tree	0.19961762428283691	1.3560337150576274	19498.408788813624	1.8743648529052734	31.9	72.0	49.3
pr107	107	44303	twice_around_the_tree	0.24259328842163086	1.2242520057728703	54238.03661175547	1.973078727722168	69.0	72.1	49.3
pr124	124	59030	twice_around_the_tree	0.28475284576416016	1.2559877968538857	74140.95964828487	2.5605621337890625	42.6	72.4	49.3
bier127	127	118282	twice_around_the_tree	0.5052361488342285	1.341181296893765	158637.60615918832	2.6781234741210938	92.9	72.0	49.3
ch130	130	6110	twice_around_the_tree	0.4528181552886963	1.3304021736711864	8128.757281130948	2.7953567504882812	58.8	72.1	49.3
pr136	136	96772	twice_around_the_tree	0.3682382106781006	1.5698109163978895	151913.74200165656	3.0400238037109375	56.5	72.1	49.3
pr144	144	58537	twice_around_the_tree	1.9664654731750488	1.3768440481741249	80596.32004796875	3.408379554748535	75.75	72.45	49.3
ch150	150	6528	twice_around_the_tree	0.4107491970062256	1.2765735554670907	8333.472170089168	3.6565933227539062	46.2	72.5	49.3
kroA150	150	26524	twice_around_the_tree	0.46158480644226074	1.3241806213640215	35122.56680105931	3.724842071533203	30.4	72.5	49.3
